reviews,cleaned_review,sentiment,sentiment_category
"✅ Trip Verified | Communication and customer service non existent, they make me pay for seat on my return flight from Madrid to London, where didn’t should be as my ticket was premium economy. On the time of check in just was able do BA-MAD but to not MAD-LHR just in Madrid they issued boarding pass changed my seat from 5F to 19F worst seat ever, explained rudeness on Madrid - plane changed. That section is Business and you are premium only, we send you to the back,, no apologies, no answer complaints, low cost airlines treat you better, refund of seat received but zero apologies.",  communication and customer service non existent they make me pay for seat on my return flight from madrid to london where didn’t should be as my ticket was premium economy on the time of check in just was able do bamad but to not madlhr just in madrid they issued boarding pass changed my seat from f to f worst seat ever explained rudeness on madrid  plane changed that section is business and you are premium only we send you to the back no apologies no answer complaints low cost airlines treat you better refund of seat received but zero apologies,0.0,Neutral
"✅ Trip Verified |  In June my flight was cancelled within three hours of departure. Was given a rebooking the next day and they lost my suitcase. It arrived three days later. Today - 25th August 2023 - it happened again. Offer of rebooking in two days. When trying to post a claim, the website doesn't work. Never again, BA.",   in june my flight was cancelled within three hours of departure was given a rebooking the next day and they lost my suitcase it arrived three days later today  th august   it happened again offer of rebooking in two days when trying to post a claim the website doesnt work never again ba,0.0,Neutral
Not Verified | BA is not treating its premium economy passengers with respect. You pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane. This is short-changing passengers. ,  ba is not treating its premium economy passengers with respect you pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane this is shortchanging passengers ,0.0,Neutral
✅ Trip Verified |  Came from Glasgow to London and took connecting flight American Airlines from London to North Carolina. It's my third day here in North Carolina and still waiting for my luggage. They didn't even bother to transfer the luggage to connecting flight. Luggage are still in Glasgow. ,   came from glasgow to london and took connecting flight american airlines from london to north carolina its my third day here in north carolina and still waiting for my luggage they didnt even bother to transfer the luggage to connecting flight luggage are still in glasgow ,0.0,Neutral
✅ Trip Verified | Beyond disgusted with the fact that my baggage has yet to be delivered to me after 5 weeks of emails and calls to BA. Two pieces reported 29th September. BA responses are generic non specific and all attempts to speak to a customer service worker are obstructed. All this from an airline touting its values and claiming yo be one of the best in the world. Disgraceful does not fully describe their customer service.,  beyond disgusted with the fact that my baggage has yet to be delivered to me after  weeks of emails and calls to ba two pieces reported th september ba responses are generic non specific and all attempts to speak to a customer service worker are obstructed all this from an airline touting its values and claiming yo be one of the best in the world disgraceful does not fully describe their customer service,0.0,Neutral
"Not Verified |  The flight was delayed over 6 hours and this of course caused us to missed our connection flight and change to a different route, finally I lost my luggage and no one has any information. I will never again travel with British Airways.",   the flight was delayed over  hours and this of course caused us to missed our connection flight and change to a different route finally i lost my luggage and no one has any information i will never again travel with british airways,0.0,Neutral
"✅ Trip Verified |  For once more BA got it all wrong with 6 hours delay, food voucher of 4 pounds and no information or advice. No staff to serve the waiting passengers. The attitude towards the passenger is one of a dispensable commodity.",   for once more ba got it all wrong with  hours delay food voucher of  pounds and no information or advice no staff to serve the waiting passengers the attitude towards the passenger is one of a dispensable commodity,0.0,Neutral
"✅ Trip Verified |  Johannesburg to Dublin via London. I get to the counter and require a transit visa. Since when and why if you are in the same terminal even. There was no support, guidance or remorse from the staff. I also had a non refundable hotel booking in Dublin! BA need to communicate such changes.",   johannesburg to dublin via london i get to the counter and require a transit visa since when and why if you are in the same terminal even there was no support guidance or remorse from the staff i also had a non refundable hotel booking in dublin ba need to communicate such changes,0.0,Neutral
"✅ Trip Verified | I purchased roundtrip tickets for my wife and I to travel from Orlando, Florida to Accra, Ghana and I purchased advance seat assignments. Unfortunately, British Airways only gave me the seats I paid for for one of four international legs our our roundtrip. I have been fighting with British Airways to get my refund for these seat assignments. They have only provided me with refund of $234. Despite several phone calls and filing multiple on-line calls and providing them with detailed, my fightcontinues. Their customer service is really poor. I will never purchase advance seat assignments with them again.",  i purchased roundtrip tickets for my wife and i to travel from orlando florida to accra ghana and i purchased advance seat assignments unfortunately british airways only gave me the seats i paid for for one of four international legs our our roundtrip i have been fighting with british airways to get my refund for these seat assignments they have only provided me with refund of  despite several phone calls and filing multiple online calls and providing them with detailed my fightcontinues their customer service is really poor i will never purchase advance seat assignments with them again,0.0,Neutral
"✅ Trip Verified |  Gatwick to Seville. When my son and his girlfriend proceeded to drop their hand luggage a member of staff insisted in making them pay 50GBP because one of the suitcases was 4cm oversize, and he insisted that it was not a hand luggage. Staff said that if he did not pay, he would lose the flight.",   gatwick to seville when my son and his girlfriend proceeded to drop their hand luggage a member of staff insisted in making them pay gbp because one of the suitcases was cm oversize and he insisted that it was not a hand luggage staff said that if he did not pay he would lose the flight,0.0,Neutral
